Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
22;Quin dia de l'any és...?;Cultura General / Festivitats;Nadal;25 de desembre;Dia del llibre;23 d'abril;Dia de l'orgull *freak*;25 de maig;Dia Intern. de la Dona;8 de març;Reis Mags;6 de gener;Sant Valentí;14 de febrer;Inti Raymi;24 de juny;Sants Innocents;28 de desembre;Dia de l'orgull LGTBIQ+;28 de juny;Dia dels Morts;2 de novembre
23;Quina és la professió del personatge principal (en aquesta pel·lícula)?;Cinema;El discurs del Rei, Geoffrey Rush;Logopeda;Philadelphia, Denzel Washington;Advocat;American Beauty, Annette Benning;Agent immobiliària;Apolo 13, Tom Hanks;Astronauta;A la recerca de l'arca perduda, Harrison Ford;Arqueòleg;Misery, Kathy Bates;Infermera;El silenci dels anyells, Jodie Foster;Agent FBI;La finestra indiscreta, James Stewart;Fotògraf;Into the Woods, Meryl Streep;Bruixa;El Show d'en Truman, Jim Carrey;Agent d'assegurances
24;A qui pertany cada obra d'art?;Art;Guernica;Pablo Picasso;Nenúfars;Claude Monet;La ronda de nit;Rembrandt;El naixement de Venus;Sandro Botticelli;La persistència de la memòria;Salvador Dalí;El crit;Edvard Munch;El petó;Gustav Klimt;La nit estelada;Vincent Van Gogh;Les Menines;Diego Velázquez;Mona Lisa;Leonardo da Vinci
25;Quin és el país d'origen de la banda?;Música;Thin Lizzy;Irlanda;Paramore;Estats Units;Rammstein;Alemanya;Muse;Gran Bretanya;Nightwish;Finlàndia;Nickelback;Canadà;The Cardigans;Suècia;AC/DC;Austràlia;Daft Punk;França;Aqua;Dinamarca
26;A quin oceà es troba cadascuna d'aquestes illes?;Geografia;Seychelles;Índic;Oahu;Pacífic;Bali;Índic;Long Island;Atlàntic;Illes Maldives;Índic;Tahití;Pacífic;Cozumel;Atlàntic;Illa de l'Ascensió;Atlàntic;Bora Bora;Pacífic;Illa Adelaida;Antàrtic
27;Què significa l'acrònim?;Tecnologia / Llengua;FAQ;Frequently Asked Questions;LOL;Laughing Out Loud;a.C.;Abans de Crist;CD;Compact Disc;P.S.;Post scriptum;IRC;Internet Relay Chat;OMG;Oh My God;USB;Universal Serial Bus;BBQ;Barbacoa;HDMI;High Definition Multimedia Interface
28;Quin és el color principal d'aquesta flor?;Natura;Violeta;Violeta;Rosella;Vermell;Rosa;Rosa;Arbre de l'amor;Rosa;Mimosa;Groc;Girasol;Groc;Muscaris;Blau;Camèlia;Vermell/Rosa;Retama;Groc;Gessamí;Blanc
29;Ordena aquests països per empresonaments el 2016 (1r el que més);Geografia / Societat (Ordenació);Estats Units;1;Brasil;2;Tailàndia;3;El Salvador;4;Turquia;5;Xina;6;Bahames;7;Rússia;8;Cuba;9;Turkmenistan;10
30;Ordena aquests països segons la seva superfície (1r el més gran);Geografia (Ordenació);Rússia;1;Austràlia;2;Canadà;3;Estats Units;4;Xina;5;Brasil;6;Índia;7;Argentina;8;Sudan;9;Kazakhstan;10
31;És una Meravella del Món Antic?;Història / Art;Temple d'Àrtemis;Veritat;Mausoleu d'Halicarnàs;Veritat;Colós de Rodes;Veritat;Machu Picchu;Fals;Palau de Potala;Fals;Colosseu;Fals;Estàtua de Zeus;Veritat;Gran Piràmide de Guiza;Veritat;Far d'Alexandria;Veritat;Taj Mahal;Fals
32;Qui va crear a...?;Cultura / Literatura / Cinema;Walt Disney;Mickey Mouse;Akira Toriyama;Son Goku;Jim Henson;La granota Gustau;Matt Groening;Bart Simpson;Charles Schulz;Snoopy;Astrid Lindgren;Pippi Calcesllargues;A. A. Milne;Winnie the Pooh;Hergé;Tintín;Edgar Rice Burroughs;Tarzan;Víctor Mora;Capità Tro
34;És una batalla de la Segona Guerra Mundial?;Història;El Alamein;Veritat;Waterloo;Fals;Stalingrad;Veritat;Kursk;Veritat;Les Ardenes;Veritat;Iwo Jima;Veritat;Alèsia;Fals;Pearl Harbor;Veritat;Verdun;Fals;Poitiers;Fals
35;És un dinosaure?;Ciència i Natura;Pteranodon;Fals;Hekasanosaurus;Veritat;Tiranosaure Rex;Veritat;Giganotosaure;Veritat;Espinosaure;Fals;Medinosaure;Fals;Criolofosaure;Veritat;Triceratops;Veritat;Centrosaure;Veritat;Sàtir;Fals
36;En quina dècada van succeir aquests esdeveniments?;Història / Cronologia (Ordenació);Huracà Katrina;2000;Inici del Glasnost;1980;Escàndol Watergate;1970;Massacre de Tiananmen;1980;Primer trasplantament de cor;1960;Obertura de l'Eurotúnel;1990;Olimpíades de Barcelona;1990;Papat de Francesc;2010;Creació de Facebook;2000;Protestes a Praga;1960
37;Ordena aquestes pel·lícules de l'MCU segons la seva data d'estrena (1a la més antiga);Cinema (Ordenació);Iron Man;1;Capità Amèrica;3;Guardians de la Galàxia;4;Ant-Man;5;Capità Amèrica: Civil War;6;Doctor Strange;7;Thor;2;Spiderman: Homecoming;8;Black Panther;9;Venjadors: Endgame;10
38;De quines obres són protagonistes aquests personatges?;Cultura / Manga;Berserk;Guts o Gatsu;One Piece;Monkey D. Luffy;Bola de Drac;Son Goku;Dr. Slump;Arale Norimaki;Mazinger Z;Koji Kabuto;Slam Dunk;Hanamichi Sakuragi;My Hero Academia;Izuku Midoriya;Doraemon;Nobita Nobi;Detective Conan;Shinichi Kudo;Akira;Akira
39;Ordena aquestes mesures de longitud (1a la més llarga);Ciència / Mesures (Ordenació);Milla nàutica;1;Milla;2;Quilòmetre;3;Metre;4;Iarda;5;Colze;6;Peu;7;Mil·límetre;8;Centímetre;9;Polzada;10
40;De quin país són originaris aquests aliments?;Gastronomia / Geografia;Tomàquet;Perú/Chile;Plàtan;Papúa Nova Guinea;Cafè;Etiòpia;Kiwi;Xina;Mango;Índia/Xina;Arròs;Índia/Xina;Mandarina;Xina;Litxi;Xina;Fruita de la passió;Brasil;Blat de moro;Mèxic
41;A quin país pertany aquesta agència d'informació?;Cultura General / Mitjans de comunicació;Reuters;Regne Unit;AFP;França;AP;Estats Units;Interfax;Rússia;Xinhua;Xina;ANSA;Itàlia;EFE;Espanya;AA (Agència Anadolu);Turquia;NINA;Iraq;Kyoto News;Japó
42;És un dels 10 llacs més grans del món?;Geografia;Llac Victòria;Veritat;Llac Titicaca;Fals;Mar Negre;Fals;Llac Malawi;Veritat;Mar d'Aral;Fals;Llac Ness;Fals;Gran Llac de l'Ós;Veritat;Mar Caspi;Veritat;Llac Baikal;Veritat;Llac Michigan;Veritat
43;A quina lletra correspon cada codi morse?;Cultura General;._;A;..;I;....;H;**;M;** *;O;* . *.;C;...;S;.* . *;X;*;T;.;E
44;Ordena aquests museus d'art segons el seu nombre de visitants (2019) (1r el que més);Art / Cultura (Ordenació);Louvre, París;1;Museu Nacional de la Xina, Beijing/Shanghai;2;Museu Metropolità d'Art, Nova York;3;Museus Vaticans, Ciutat del Vaticà/Roma;4;Museu Nacional de Seül, Seül;5;Museu Reina Sofia, Madrid;6;Museu Britànic, Londres;7;Museu Nacional d'Història Natural, Londres;8;Museu del Prado, Madrid;9;Museu d'Orsay, París;10
45;Quin color falta en el títol de la pel·lícula?;Cinema;El cigne...;Negre;Vellut...;Blau;Tomàquets fregits;Verd;La caça de l'Octubre...;Vermell;La … mecànica;Taronja;Què… era la meva vall!;Verd;La prima línia...;Vermella;La pantera...;Rosa;El llac...;Blau;Llanterna...;Verda
46;Quin instrument toca o tocava principalment...?;Música;John Coltrane;Saxòfon;Phil Collins;Bateria;Charles Mingus;Contrabaix;Louis Armstrong;Trompeta;George Harrison;Guitarra;Alicia Keys;Piano;Jerry Lee Lewis;Piano;Miles Davis;Trompeta;Benny Goodman;Clarinet;Eddie van Halen;Guitarra
47;Quina pel·lícula va fer famosa aquesta cançó?;Cinema / Música;The Power of Love;Retorn al futur;Born to Be Wild;Easy Rider;Mrs. Robinson;El graduat;Say You, Say Me;Nits Blanques;Lose Yourself;8 Milles;Stayin' Alive;Febre del dissabte nit;I Will Always Love You;El guardaespatlles;Moon River;Esmorzar amb diamants;Gangsta's Paradise;Ments perilloses;Unchained Melody;Ghost
48;És una novel·la de Stephen King?;Literatura;L'ombra d'Innsmouth;Fals;L'exorcista;Fals;Apartament 16;Fals;La Torre Fosca;Veritat;Deixa'm entrar;Veritat;La Milla Verda;Veritat;It;Veritat;La casa infernal;Fals;L'ombra del diable;Fals;El gat negre;Fals
49;Dècada del seu llançament;Música / Cronologia;Black or White / Michael Jackson;1990;One / U2;1990;Back to Black / Amy Winehouse;2000;Sex and I Know It / LMFAO;2010;Stayin' Alive / Bee Gees;1970;Hey Jude / The Beatles;1960;Toxic / Britney Spears;2000;Happy / Pharrell Williams;2010;Call Me / Blondie;1980;Jailhouse Rock / Elvis;1950
50;A quina mitologia correspon cada divinitat?;Mitologia;Quetzalcóatl;Asteca;Hela;Nòrdica;Osiris;Egípcia;Xiva;Hindú;Pachamama;Inca;Izanagi;Japonesa;Amaterasu;Japonesa;Thor;Nòrdica;Júpiter;Romana;Sekhmet;Egípcia
51;A quin país es troben aquests parcs temàtics?;Geografia / Turisme;Europa Park;Alemanya;Legoland;Dinamarca;Santa Claus Village;Finlàndia;Eurodisney;França;Port Aventura;Espanya;Six Flags;Mèxic;Nintendo World;Japó;The Prater;Àustria;Wizarding World;Estats Units;Knott's Berry Farm;Estats Units
52;Ordena les mans de pòquer (1a la més alta);Jocs (Ordenació);Escala de color;1;Pòquer;2;Full house;3;Color;4;Escala;5;Trio;6;Doble parella;7;Parella;8;Carta alta;9;Farol (Engany);10
53;Pots pagar (oficialment) amb dòlars americans en aquest país?;Geografia / Economia;Timor Oriental;Veritat;Illes Verges Britàniques;Veritat;Equador;Veritat;Palau;Veritat;El Salvador;Veritat;Guam;Veritat;Micronèsia;Veritat;Xile;Fals;Cuba;Fals;Singapur;Fals
54;Ordena aquests descobriments segons quan es van descobrir (1r el més antic);Ciència (Ordenació);Lleis de Newton;1;Lleis de Kepler;2;Lleis de la termodinàmica;3;Doble escletxa de Young;4;Model estàndard;5;Ones gravitacionals;6;Equació de Schrödinger;7;Lleis de Maxwell;8;Principi d'incertesa de Heisenberg;9;Relativitat general;10
55;Quina marca de cotxe correspon al model?;Transport;Phantom;Rolls-Royce;Veyron;Bugatti;Mustang;Ford;Testarossa;Ferrari;Corvette;Chevrolet;Vantage;Aston Martin;Huracán;Lamborghini;Carrera;Porsche;Viper;Dodge;Beetle;Volkswagen
56;Qui és el compositor de...?;Música;Rhapsody in Blue;Gershwin;Aida;Verdi;Carmen;Bizet;El llac dels cignes;Tchaikovsky;Oda a l'Alegria;Beethoven;Peer Gynt;Grieg;Les quatre estacions;Vivaldi;El Danubi blau;Strauss;La flauta màgica;Mozart;L'holandès errant;Wagner
57;Actualment, quina au...?;Ciència / Natura;Nada més ràpid;Pingüí de vinxa;És la rapinyaire més gran;Còndor andí;Vola a més velocitat;Falcó peregrí;És la més petita;Colibrí zunzuncito;Viu més temps;Albatros;és la salvatge més comuna;Quelea comú;És la més gran;Estruç;Migra més lluny;Xarrà àrtic;És la més sorollosa;Campaner tricirculat;És la voladora més pesada;Avutarda kori
58;Quin número falta en el nom d'aquesta banda?;Música;Inch Nails;Nine;U;2;Seconds to Mars;30;Doors Down;3;Blink;182;The Jackson;5;UB;40;Maroon;5;Republic;One;Los sudamericanos;3
59;Què es calcula amb cada fórmula?;Ciència / Física;[pi] r^2;Àrea d'un cercle;E = mc^2;Energia;V/I;Resistència;(4[pi]r^3)/3;Volum d'una esfera;v·t;Distància;m·a;Força;m·v;Moment;(V -Vo)/2;Velocitat mitjana;F/A;Pressió;2[pi]r;Circumferència
60;Anomena l'altra meitat d'aquests famosos duos.;Cultura General;Holmes;Watson;Mulder;Scully;Luigi;Mario;Romeu;Julieta;Filemón;Mortadel·lo;Thelma;Louise;El Gordo;El Flaco;Wallace;Gromit;Clyde;Bonnie;Starsky;Hutch
61;Qui és el dibuixant d'aquests personatges de còmic?;Art / Còmic;Mortadel·lo i Filemón;F. Ibáñez;Batman;Bob Kane;Calvin and Hobbes;Bill Watterson;Astèrix;Uderzo;Garfield;Jim Davis;Spider-Man;Stan Lee;Mafalda;Quino;Astroboy;Osamu Tezuka;Lucky Luke;Morris;Superlópez;Jan
62;Quina companyia comercialitza aquests aliments?;Economia / Consum;Oreo;Mondelez Internacional;M&M;Mars;Kit Kat;Nestlé;Lay's;Pepsico;Pringles;Kellogg's;Ossets de gominola;Haribo;Caixa Vermella;Nestlé;Mon Cheri;Ferrero;Bimbo;Lacasa;Conguitos;Lacasa
63;Quin tipus de beguda alcohòlica correspon a cadascuna d'aquestes marques?;Gastronomia;Ron;Ron;Whisky;Whisky;Ginebra;Ginebra;Vodka;Vodka;Tequila;Tequila;Brandy;Brandy;Cachaça;Cachaça;Anís;Anís;Soju;Soju;Patxaran;Patxaran
64;A quin esport correspon aquest esdeveniment?;Esports;Salt d'esquí;Esquí;Torneig de les Sis Nacions;Rugby;GP de Mònaco;Fórmula 1;Tour de França;Ciclisme;Super Bowl;Futbol americà;Obert Britànic;Golf;Wimbledon;Tennis;24 hores de Le Mans;Automobilisme;Finals de la Copa Stanley;Hoquei sobre gel;Cursa de muntanya;Ciclisme
65;Per quin esport és famós/a...?;Esports / Personalitats;Lorena Ochoa;Golf;Daley Thompson;Ciclisme;Martina Navratilova;Tennis;Blanca Fernández Ochoa;Esquí;Tom Brady;Futbol americà;Ferenc Puskás;Futbol;Pedro Manel Estiarte;Waterpolo;Ielena Issinbàieva;Salt amb perxa;Eddie Merckx;Decatló;N/A;N/A
66;Ordena els autors més traduïts (1r el més traduït);Literatura (Ordenació);Agatha Christie;1;Jules Verne;2;H. C. Andersen;3;William Shakespeare;4;Barbara Cartland;5;Stephen King;6;V. I. Lenin;7;Enid Blyton;8;Danielle Steel;9;Jacob Grimm;10
67;A quin país pertany...?;Geografia;Illes Balears;Espanya;Illes Canàries;Espanya;Svalbard;Noruega;Groenlàndia;Dinamarca;Hawaii;Estats Units;Illa de Pasqua;Xile;Açores;Portugal;Bermudes;Regne Unit;Santa Elena;Regne Unit;Illes Cocos;Austràlia
68;De quina pel·lícula és cada frase?;Cinema;De vegades veig morts;El sisè sentit;Li faré una oferta que no podrà rebutjar;El Padrí;Sempre ens quedarà París;Casablanca;Fes-ho o no ho facis, però no ho intentis;L'Imperi contraataca;... m'estàs parlant a mi?;Taxi Driver;Ningú no és perfecte;Ningú no és perfecte;Fins a l'infinit i més enllà;Toy Story;Moments... que es perdran en el temps com llàgrimes en la pluja;Blade Runner;Necessitarem un vaixell més gran;Tauró;Pensem massa i sentim poc;El Gran Dictador
69;Ordena aquestes consoles Nintendo segons el seu any de sortida (1a la més antiga);Tecnologia / Jocs (Ordenació);NES;1;Game Boy;2;SNES;3;Nintendo 64;4;GameCube;5;Nintendo DS;6;Wii;7;Nintendo 3DS;8;Wii U;9;Nintendo Switch;10
70;És un dels 10 rius més llargs del món?;Geografia;Nil;Veritat;Volga;Fals;Amazones;Veritat;Rin;Fals;Congo;Veritat;Danubi;Fals;Iang-Tsé;Veritat;Obi;Veritat;Riu Groc;Veritat;Zambezi;Fals
71;De quina banda se'l coneix com a membre?;Música;Annie Lennox;Eurythmics;Martin Gore;Depeche Mode;Robbie Williams;Take That;Beyoncé;Destiny's Child;Jimmy Page;Led Zeppelin;Mick Jagger;The Rolling Stones;Harry Styles;One Direction;Geri Halliwell;Spice Girls;Justin Timberlake;N Sync;Gwen Stefani;No Doubt
72;Ordena els cossos celestes del sistema solar segons la seva posició (1r al centre);Ciència / Astronomia (Ordenació);Sol;1;Mercuri;2;Venus;3;Terra;4;Mart;5;Júpiter;6;Saturn;7;Urà;8;Neptú;9;Plutó;10
73;És un animal verinós?;Ciència / Natura;Granota fletxa daurada;Veritat;Peix globus;Veritat;Aranya armadilha;Veritat;Serp de fuet de muntanya;Veritat;Vespa de mar;Veritat;Pop d'anells blaus;Veritat;Mamba negra;Veritat;Libèl·lula emperador;Fals;Ratpenat vampir;Fals;Aranya de potes llargues;Fals
74;És una lletra grega?;Cultura General / Llengua;Psi;Veritat;Ulter;Fals;Eta;Veritat;Orpha;Fals;Theta;Veritat;Ipsilon;Veritat;Beta;Veritat;Zeta;Veritat;Xi;Veritat;Delta;Veritat
75;Quants Campionats del Món de Futbol han guanyat aquestes seleccions (2020)?;Esports / Futbol;Brasil;5;Itàlia;4;Alemanya;4;Argentina;2;Uruguai;2;França;2;Anglaterra;1;Espanya;1;Portugal;0;Holanda;0
76;Es troben aquests països a Amèrica del Sud?;Geografia;Argentina;Veritat;Brasil;Veritat;Perú;Veritat;Equador;Veritat;Guyana;Veritat;Surinam;Veritat;Xile;Veritat;Paraguai;Veritat;Veneçuela;Veritat;Mèxic;Fals
77;Nombre de...;Cultura General / Ciència;Setmanes d'un any;52;Llunes de Mart;2;Ossets de l'oïda;3;Províncies espanyoles;52;Anells olímpics;5;Pisos a l'Empire State Building;102;Costats d'un icosaedre;20;Vèrtebres cervicals;7;Lletres a l'abecedari llatí;26;Caps del ca Cèrber;3
78;Nombre de jugadors (per equip) al camp de joc de...?;Esports;Rugby;15;Beisbol;9;Voleibol;6;Waterpolo;7;Futbol;11;Handbol;7;Bàsquet;5;Hoquei sobre gel;6;Polo;4;Criquet;11
79;Quin és el color predominant a la bandera de...?;Geografia / Banderes;Mauritània;Verd;Nigèria;Verd;Japó;Blanc;Vietnam;Vermell;Austràlia;Blau;Albània;Vermell;Brasil;Verd;Escòcia;Blau;Europa;Blau;Suïssa;Vermell
80;Amb quin país es relaciona aquesta persona?;Personalitats / Història;Ho Chi Minh;Vietnam;Ferdinand Marcos;Filipines;Shimon Peres;Israel;Pol Pot;Cambodja;Salvador Allende;Xile;Eva Perón;Argentina;Benazir Bhutto;Pakistan;Indira Gandhi;Índia;José Napoleón Duarte;El Salvador;Fidel Castro;Cuba
81;En quin segle va ocórrer aquest esdeveniment?;Història / Cronologia;Batalla de Waterloo;XIX;Descobriment d'Amèrica;XV;Primera immunització;XVIII;Primer coet de pólvora;XI;Teoria de l'evolució;XIX;Primers Jocs Olímpics;XIX;La Guerra Freda;XX;Carta Magna;XIII;Primer pagament en euros;XXI;Primera Guerra Mundial;XX
82;Qui va escriure aquesta novel·la?;Literatura;El codi Da Vinci;Dan Brown;1984;George Orwell;Crim i Càstig;Fiódor Dostoievski;Don Quixot;Cervantes;El Senyor dels Anells;J. R. R. Tolkien;El Hòbbit;J. R. R. Tolkien;Els pilars de la Terra;Ken Follett;El guardià entre el sègol;J. D. Salinger;La casa dels esperits;Isabel Allende;Anna Karènina;León Tolstói
83;Quin país és famós pel seu...?;Gastronomia / Geografia;Japó;Ramen;Rússia;Pelmeni;Turquia;Döner kebab;Itàlia;Risotto;Hongria;Goulash;Tailàndia;Tom yum;Espanya;Paella;Marroc;Tajín;Corea;Kimchi;Grècia;Souvlaki
84;Són cònsols o són emperadors de Roma?;Història;Cònsol;Cónsul;Emperador;Emperador;Juli Cèsar;Cónsul;Marc Antoni;Cónsul;Neró;Emperador;Tiberi;Emperador;Vespasià;Emperador;Dioclecià;Emperador;Marc Aureli;Emperador;Pompeu;Cónsul
85;Ordena aquests animals domesticats (1r el més antic);Ciència / Història (Ordenació);Gos;1;Porc;2;Ovella;3;Gallines;4;Estruç;5;Cavall;6;Ase;7;Búfal d'aigua;8;Camell;9;Ren;10
86;És una cançó d'ABBA?;Música;Gimme! Gimme! Gimme!;Veritat;I Have a Dream;Veritat;Waterloo;Veritat;Chiquitita;Veritat;Mamma Mia;Veritat;Fernando;Veritat;Kiss From a Rose;Fals;Man in the mirror;Fals;Wellington;Fals;Me and Bobby McGee;Fals
87;És una sèrie original de Netflix?;Televisió;Stranger Things;Veritat;Narcos;Veritat;House of Cards;Veritat;Grace and Frankie;Veritat;Breaking Bad;Fals;Orange Is the New Black;Veritat;Dexter;Fals;Mad Men;Fals;Marco Polo;Veritat;The Boys;Fals
88;Ordena aquests edificis (1r el més alt);Arquitectura (Ordenació);Burj Khalifa;1;Shanghai World Financial Center;2;One World Trade Center;3;Taipei 101;4;Shanghai Financial Center;5;Empire State Building;6;Torres Petronas;7;Torre Willis;8;Trump Intl Hotel and Tower;9;Torre Oriental;10
89;Ha rebut l'Oscar a la Millor Pel·lícula?;Cinema;Braveheart;Veritat;Annie Hall;Veritat;Troia;Fals;Gladiator;Veritat;Ben-Hur;Veritat;El Padrí II;Veritat;El Padrí;Veritat;Hamlet;Veritat;Chinatown;Fals;Lawrence d'Aràbia;Veritat
90;Quin és el nom de la protagonista femenina del videojoc...?;Videojocs;Street Fighter II;Chun-Li;Final Fantasy XIII;Lightning;Horizon Zero Dawn;Aloy;The Last of Us;Ellie;Tomb Raider;Lara Croft;Uncharted;Elena;Metroid;Samus;Super Mario Bros;Princess Peach;The Legend of Zelda;Princess Zelda;Bayonetta;Bayonetta
91;Ordena aquests aliments segons el seu valor calòric en 100g (1r el més baix);Ciència / Salut (Ordenació);Aigua;1;Tomàquet;2;Poma;3;Cogombre;4;Plàtan;5;Ou;6;Alvocat;7;Mel;8;Avellana;9;Oli;10
92;Ordena aquestes substàncies segons la seva densitat (1a la més densa);Ciència (Ordenació);Ferro;1;Mercuri;2;Plata;3;Heli;4;Aigua;5;Hidrogen;6;Or;7;Alumini;8;Fusta;9;Aire;10
93;És una de les 10 illes més grans del món?;Geografia;Grenlàndia;Veritat;Borneo;Veritat;Madagascar;Veritat;Cèlebes;Veritat;Cuba;Fals;Gran Bretanya;Veritat;Honshu;Veritat;Java;Fals;Illa Victòria;Fals;Maurici;Fals
94;A quina empresa pertany cada producte?;Economia / Empreses;Playstation;Sony;Whopper;Burger King;Snickers;Mars, Inc.;Sprite;The Coca-Cola Company;Macbook;Apple;Smart;Mercedes Benz;Game Boy;Nintendo;Lipton;Pfizer;PowerPoint;Microsoft;H&S;Procter & Gamble
95;És evitable aquesta malaltia mitjançant vacunació?;Ciència / Salut;Rubèola;Veritat;Febre groga;Veritat;Febre hemorràgica de Marburg;Fals;Tos ferina;Veritat;Malària;Fals;Febre de Lassa;Fals;Difteria;Veritat;Ràbia;Veritat;Borreliosi;Fals;VIH;Fals
96;Nombre de...;Cultura General / Ciència;Cantants en un doble septet;8;Mesos amb 31 dies;7;Parells de cromosomes en l'ésser humà;23;Bases de l'ADN;4;Aminoàcids essencials per a l'ésser humà;9;Bessons;2;Continents;6;Dies en un any de traspàs;366;Membres de les Nacions Unides (2020);193;Potes d'una formiga;6
97;És un desert?;Geografia;Karakum;Veritat;Gobi;Veritat;Atacama;Veritat;Taklamakán;Veritat;Sàhara;Veritat;Thar;Veritat;Taghit;Veritat;Uadi;Fals;Kalahari;Veritat;Vall de la Mort;Veritat
98;A quina religió correspon cada Escriptura?;Cultura General / Religió;Avesta;Zoroastrisme;Tripitaka;Budisme;Hadiz;Islam;Torà;Judaisme;Daozang;Taoisme;Vedas;Hinduisme;Nou Testament;Cristianisme;Corán;Islam;Talmud;Judaisme;Mahabharata;Hinduisme
100;És un instrument de percussió?;Música;Vibràfon;Veritat;Cabasa;Veritat;Marimba;Veritat;Tricordia;Fals;Didjeridú;Fals;Tambors metàl·lics;Veritat;Balalaica;Fals;Güiro;Veritat;Iembé;Veritat;Flautí;Fals
101;Què paraula acabada en -isme correspon a la definició?;Llengua;Negació de tota creença o realitat;Nihilisme;Oposició a la guerra o a la violència;Pacifisme;Creença en poders sobrenaturals;Ocultisme;Procurar el bé de les persones de manera desinteressada;Altruisme;Tendència a defensar la puresa;Purisme;Creença de que tots els esdeveniments estan destinats;Fatalisme;Afavorir el familiar d'algú;Nepotisme;Prima a l'individu respecte a la comunitat;Individualisme;Satisfacció sexual a través del dolor físic propi;Masoquisme;Creença en un sol déu;Monoteisme
102;Quin és el principal color de la bandera de...?;Geografia / Banderes;Nauru;Vermell;Dinamarca;Vermell;Kirguizistan;Vermell;Marroc;Vermell;Tunísia;Vermell;Letònia;Vermell;Israel;Blau;Aràbia Saudita;Verd;Somàlia;Blau;Nova Zelanda;Blau
